Date,Open,High,Low,Close,Adj Close,Volume
1999-01-22,1.750000,1.953125,1.552083,1.640625,1.516906,67867200
1999-01-25,1.770833,1.833333,1.640625,1.812500,1.675819,12762000
1999-01-26,1.833333,1.869792,1.645833,1.671875,1.545799,8580000
1999-01-27,1.677083,1.718750,1.583333,1.666667,1.540984,6109200
1999-01-28,1.666667,1.677083,1.651042,1.661458,1.536168,5688000
1999-01-29,1.661458,1.666667,1.583333,1.583333,1.463934,6100800
1999-02-01,1.583333,1.625000,1.583333,1.614583,1.492827,3867600
1999-02-02,1.583333,1.625000,1.442708,1.489583,1.377254,6602400
1999-02-03,1.468750,1.541667,1.458333,1.520833,1.406147,1878000
1999-02-04,1.541667,1.645833,1.520833,1.604167,1.483197,4548000
1999-02-05,1.630208,1.666667,1.588542,1.651042,1.526537,3421200
1999-02-08,1.661458,1.666667,1.593750,1.593750,1.473565,3852000
1999-02-09,1.625000,1.635417,1.510417,1.531250,1.415779,2174400
1999-02-10,1.531250,1.572917,1.489583,1.515625,1.401332,3705600
1999-02-11,1.520833,1.708333,1.520833,1.645833,1.521721,3306000
1999-02-12,1.666667,1.750000,1.666667,1.739583,1.608402,2743200
1999-02-16,1.770833,1.843750,1.572917,1.750000,1.618033,5275200
1999-02-17,1.708333,1.729167,1.625000,1.656250,1.531352,1693200
1999-02-18,1.708333,1.729167,1.635417,1.682292,1.555430,1767600
1999-02-19,1.666667,1.770833,1.645833,1.739583,1.608402,1884000
1999-02-22,1.770833,1.791667,1.656250,1.750000,1.618033,5131200
1999-02-23,1.791667,1.869792,1.687500,1.833333,1.695082,3452400
1999-02-24,2.104167,2.187500,1.932292,1.979167,1.829918,15319200
1999-02-25,2.062500,2.125000,1.885417,1.916667,1.772131,3728400
1999-02-26,1.937500,2.000000,1.812500,1.828125,1.690266,4315200
1999-03-01,1.875000,1.916667,1.750000,1.838542,1.699897,2304000
1999-03-02,1.833333,1.843750,1.791667,1.822917,1.685450,1381200
1999-03-03,1.833333,1.833333,1.687500,1.697917,1.569877,1534800
1999-03-04,1.781250,1.791667,1.645833,1.661458,1.536168,1434000
1999-03-05,1.677083,1.760417,1.677083,1.755208,1.622848,1969200
1999-03-08,1.708333,1.833333,1.677083,1.781250,1.646926,1897200
1999-03-09,1.776042,1.864583,1.776042,1.838542,1.699897,3579600
1999-03-10,1.864583,1.864583,1.781250,1.807292,1.671004,5883600
1999-03-11,1.776042,1.807292,1.729167,1.729167,1.598770,1357200
1999-03-12,1.739583,1.739583,1.666667,1.697917,1.569877,2269200
1999-03-15,1.739583,1.791667,1.729167,1.770833,1.637295,2720400
1999-03-16,1.781250,1.802083,1.697917,1.713542,1.584324,1978800
1999-03-17,1.729167,1.760417,1.682292,1.723958,1.593955,1284000
