"Timestamp","Do you have a job?","How long ago did you get your Bachelor degree?","What program are enrolled in?","How would you rate your computer programming background?","Have you ever programmed in C?","Have you ever programmed in C++?","Have you ever programmed in C#?","Have you ever programmed in Java?","Have you ever programmed in Python?","Have you ever programmed in Javascript?","Have you ever programmed in R?","Have you ever programmed in SQL?","Have you ever used SAS?","Have you ever used Excel?","Have you ever used Tableau?","Have you ever run a regression?","How familiar are you with the Machine Learning task called ""classification""?","How familiar are you with the Machine Learning task called ""clustering""?"
"2017/01/09 2:48:20 PM MST","No, I'm not working at the moment","longer than 1 year ago but less than 3 years ago","MSIS","4","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","4","4"
"2017/01/09 3:15:59 PM MST","Yes, I have a part-time job","over 5 years ago","MSIS","3","Yes","Yes","No","Yes","No","No","No","Yes","No","Yes","No","No","2","2"
"2017/01/09 4:48:48 PM MST","No, I'm not working at the moment","longer than 3 years ago but less than 5 years ago","MSIS","3","No","No","No","Yes","Yes","No","No","Yes","No","Yes","No","Yes","3","3"
"2017/01/09 4:48:51 PM MST","No, I'm not working at the moment","over 5 years ago","MSIS","3","Yes","No","No","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","2","3"
"2017/01/09 4:50:03 PM MST","No, I'm not working at the moment","longer than 3 years ago but less than 5 years ago","MSIS","3","Yes","No","No","Yes","Yes","No","No","Yes","No","Yes","No","No","1","1"
"2017/01/09 6:07:04 PM MST","Yes, I have a full-time job","longer than 1 year ago but less than 3 years ago","Supply Chain Mgmt & Analytics","1","No","No","No","No","No","No","No","Yes","No","Yes","No","Yes","1","1"
"2017/01/09 6:07:44 PM MST","No, I'm not working at the moment","longer than 1 year ago but less than 3 years ago","MSIS","3","Yes","Yes","No","Yes","No","No","No","Yes","No","Yes","No","No","2","2"
"2017/01/09 7:02:47 PM MST","No, I'm not working at the moment","< 1 year ago","MSIS","2","Yes","No","No","Yes","No","No","No","Yes","No","Yes","Yes","No","2","2"
"2017/01/09 9:42:46 PM MST","Yes, I have a full-time job","over 5 years ago","MBA","1","No","No","No","No","No","No","No","No","No","Yes","No","Yes","1","1"
"2017/01/09 11:08:27 PM MST","Yes, I have a part-time job","over 5 years ago","MSIS","3","Yes","No","No","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","2","1"
"2017/01/10 8:43:34 AM MST","Yes, I have a part-time job","over 5 years ago","MBA","4","Yes","Yes","Yes","Yes","No","No","No","Yes","No","Yes","No","Yes","2","2"
"2017/01/10 5:47:48 PM MST","Yes, I have a full-time job","over 5 years ago","MBA","2","No","No","No","No","Yes","No","No","No","No","Yes","No","Yes","1","1"
"2017/01/10 7:04:45 PM MST","Yes, I have a part-time job","over 5 years ago","MSIS","4","Yes","Yes","No","Yes","No","No","No","Yes","Yes","Yes","No","Yes","1","1"
"2017/01/10 8:16:50 PM MST","No, I'm not working at the moment","< 1 year ago","Supply Chain Mgmt & Analytics","2","Yes","Yes","No","No","No","No","No","Yes","No","Yes","No","Yes","3","1"
"2017/01/10 8:17:47 PM MST","Yes, I have a full-time job","over 5 years ago","MBA","5","Yes","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","2","2"
"2017/01/10 8:22:31 PM MST","Yes, I have a full-time job","over 5 years ago","MBA","1","No","No","No","No","No","No","No","No","No","Yes","No","No","1","1"
